candId,TO,V,officeId
303,54.73%,3643,330
304,100.00%,8258,194
305,45.27%,3013,330
307,58.93%,967,333
308,71.44%,5727,195
309,41.07%,674,333
310,26.62%,2134,195
311,100.00%,6769,197
312,41.22%,9344,335
313,58.78%,13322,335
314,37.24%,7224,338
315,62.76%,12176,338
316,36.39%,3651,340
317,63.61%,6382,340
318,12.85%,4778,347
319,87.15%,32412,347
320,60.98%,7490,352
321,39.02%,4792,352
324,45.98%,2051,356
325,54.02%,2410,356
326,51.04%,1701,363
327,48.96%,1632,363
328,46.11%,8991,369
329,53.89%,10506,369
330,45.63%,9382,385
331,54.37%,11180,385
332,34.39%,10211,237
333,56.58%,16802,237
334,37.51%,7019,391
336,51.92%,7001,393
337,48.08%,6483,393
338,51.84%,5122,396
339,48.16%,4758,396
340,29.24%,4421,399
341,70.76%,10699,399
342,22.46%,2096,101
343,70.94%,6621,101
344,81.01%,5203,192
346,54.23%,1191,282
347,45.77%,1005,282
348,58.49%,5250,294
349,41.51%,3726,294
350,35.83%,383,297
351,64.17%,686,297
352,48.35%,2231,262
353,51.65%,2383,262
354,34.52%,561,327
355,65.48%,1064,327
356,41.67%,840,331
357,58.33%,1176,331
358,29.11%,3030,249
359,70.89%,7378,249
360,55.91%,5289,377
361,44.09%,4171,377
362,65.52%,7092,389
363,34.48%,3733,389
364,48.77%,5727,46
365,45.59%,5353,46
366,18.10%,1662,49
367,81.86%,7515,49
368,31.42%,4245,52
369,65.61%,8864,52
370,87.10%,7224,53
371,70.39%,5854,55
372,24.89%,2070,55
373,35.66%,3678,57
374,56.34%,5810,57
375,45.63%,5274,58
376,47.59%,5501,58
377,46.08%,6362,61
378,50.78%,7011,61
379,44.33%,6313,64
380,53.85%,7669,64
381,50.14%,6616,66
382,44.67%,5894,66
383,54.45%,5765,67
384,39.94%,4229,67
385,44.33%,5709,73
386,49.30%,6349,73
387,37.65%,4476,74
389,46.82%,6215,75
390,48.13%,6389,75
391,48.67%,14308,315
392,30.19%,4253,76
393,64.80%,9129,76
394,38.98%,3811,78
395,57.76%,5648,78
396,48.22%,6576,81
397,48.85%,6662,81
398,43.90%,5342,82
399,52.54%,6393,82
400,51.17%,6261,85
401,38.39%,4697,85
402,42.66%,3207,87
403,48.78%,3667,87
404,38.51%,4915,90
405,61.49%,7849,90
406,56.82%,5818,92
408,47.90%,3265,93
409,35.30%,2406,93
410,49.92%,5979,95
411,44.04%,5275,95
412,57.94%,5548,98
413,42.06%,4028,98
414,55.72%,6365,99
415,32.34%,3694,99
416,48.31%,6146,100
417,45.02%,5727,100
418,49.52%,4707,105
419,41.95%,3987,105
420,50.13%,4907,106
421,40.50%,3965,106
422,49.01%,5713,107
423,46.56%,5427,107
425,58.79%,7916,113
426,41.21%,5549,113
427,43.62%,3605,120
428,47.88%,3957,120
429,49.63%,3819,121
430,43.73%,3365,121
431,20.69%,903,122
432,75.19%,3282,122
433,70.83%,9213,123
434,29.17%,3795,123
435,89.31%,9403,127
437,39.20%,3849,132
438,50.97%,5005,132
439,25.13%,3331,134
440,69.18%,9171,134
442,37.80%,3874,135
443,55.77%,6643,137
444,40.80%,4860,137
445,71.16%,8333,138
446,28.84%,3377,138
447,5.39%,351,140
448,94.61%,6159,140
449,87.04%,9225,145
450,30.60%,3136,147
451,62.61%,6417,147
452,57.58%,6878,149
454,50.38%,5637,150
455,47.73%,5340,150
456,40.10%,3430,151
457,50.75%,4341,151
458,53.91%,6491,152
459,37.94%,4568,152
460,32.90%,2683,156
461,59.23%,4830,156
462,32.26%,1817,157
463,57.96%,3265,157
464,27.16%,3017,160
467,26.61%,1704,163
468,53.05%,6325,164
469,40.77%,4861,164
470,68.48%,8073,178
471,31.52%,3716,178
472,44.49%,6001,182
473,51.41%,6934,182
474,52.23%,5738,185
475,44.18%,4854,185
477,53.77%,4928,186
478,31.36%,3979,188
479,66.28%,8409,188
480,100.00%,8949,196
481,60.34%,7321,198
482,39.66%,4812,198
483,62.35%,7413,74
484,59.20%,30655,13
485,35.66%,18204,16
486,16.70%,897,70
487,49.85%,6129,72
489,58.99%,12730,372
490,41.01%,8851,372
491,63.70%,19669,242
492,36.30%,11208,242
493,52.93%,7523,349
495,47.07%,6690,349
496,55.72%,2103,329
497,44.28%,1671,329
498,54.93%,6871,153
499,39.32%,4918,153
501,33.78%,17238,43
502,37.08%,4179,114
503,52.41%,5907,114
505,100.00%,7010,168
506,49.83%,3417,281
507,50.17%,3441,281
508,60.16%,1880,302
509,39.84%,1245,302
510,62.01%,12510,337
511,37.99%,7663,337
512,58.32%,1174,370
513,41.68%,839,370
514,50.95%,722,373
515,49.05%,695,373
516,46.30%,1936,379
517,53.70%,2245,379
518,52.74%,4236,251
519,47.26%,3796,251
523,42.32%,4731,165
524,50.99%,5700,165
525,59.86%,2720,332
526,40.14%,1824,332
527,38.01%,1970,362
528,61.99%,3213,362
529,49.97%,2625,364
530,50.03%,2628,364
531,70.18%,1520,258
532,29.82%,646,258
533,50.02%,20237,37
534,45.54%,4803,103
535,47.62%,5023,103
536,55.78%,579,316
537,44.22%,459,316
538,70.49%,812,324
539,29.51%,340,324
540,39.20%,2797,345
541,60.80%,4338,345
542,60.41%,847,351
543,39.59%,555,351
544,40.76%,344,367
545,59.24%,500,367
546,41.31%,19674,375
547,55.33%,26349,375
548,51.26%,6553,383
549,48.74%,6231,383
550,55.47%,4433,300
551,44.53%,3559,300
553,51.33%,15093,315
554,48.45%,470,322
555,51.55%,500,322
556,55.62%,510,350
557,44.38%,407,350
558,50.96%,4917,388
559,49.04%,4731,388
560,55.00%,1550,394
561,45.00%,1268,394
562,55.60%,3102,209
563,44.40%,2477,209
564,34.10%,1078,325
565,65.90%,2083,325
566,51.82%,3197,328
567,48.18%,2972,328
568,52.33%,2858,374
569,42.83%,2339,374
571,100.00%,1283,376
572,99.85%,2644,390
573,66.15%,899,342
574,33.85%,460,342
577,65.94%,3498,371
578,40.21%,4320,261
579,100.00%,4454,47
580,94.17%,5589,51
581,100.00%,5794,56
582,100.00%,10337,62
583,100.00%,8161,65
584,87.48%,9139,68
585,86.36%,9032,79
587,85.45%,6489,89
588,100.00%,9466,102
589,100.00%,9048,104
590,100.00%,10382,109
591,100.00%,9882,116
592,100.00%,7232,117
593,79.87%,6302,118
594,80.10%,4117,119
595,100.00%,7284,129
596,85.91%,4135,131
597,76.52%,7761,133
598,88.36%,9230,136
599,93.64%,7433,139
600,93.66%,6955,141
601,100.00%,5044,142
602,89.07%,5271,143
603,100.00%,5717,144
604,86.76%,8832,148
605,100.00%,8133,155
606,87.85%,8568,159
607,76.37%,8066,161
608,86.20%,8996,169
609,87.79%,9261,172
610,90.68%,5178,187
611,100.00%,9457,190
612,39.44%,1220,285
613,60.56%,1873,285
614,100.00%,1639,307
616,99.36%,5933,344
617,47.45%,3735,360
618,68.19%,1207,212
619,34.06%,1807,371
620,59.79%,6423,261
621,100.00%,662,386
622,75.24%,4042,70
623,86.39%,8818,154
637,52.55%,4137,360
638,55.82%,4367,358
641,44.18%,3457,358
648,53.28%,3851,341
649,43.53%,5351,72
650,100.00%,1207,387
660,1.84%,207,114
661,13.80%,1440,169
663,22.36%,4209,264
664,36.67%,6903,264
665,40.97%,7712,264
666,57.39%,749,368
668,40.93%,673215,1
672,1.66%,811,44
673,58.84%,7116,355
674,41.16%,4977,355
675,1.61%,5332,4
676,1.72%,954,41
677,54.57%,897572,1
678,3.90%,477,85
679,100.00%,25047,84
680,84.38%,18792,31
682,42.42%,5068,149
685,55.73%,18227,14
686,53.82%,21075,30
687,83.67%,4904,86
688,57.75%,5919,135
689,89.73%,5301,171
690,83.34%,6335,173
691,68.64%,6279,193
692,75.40%,14771,236
693,62.49%,11693,391
694,91.18%,8103,110
696,57.99%,5977,334
697,72.84%,8090,160
698,54.03%,23173,83
699,70.22%,4496,163
700,51.88%,2247,312
701,32.59%,4527,423
702,33.93%,4713,423
703,33.48%,4650,423
710,32.01%,3278,92
711,17.83%,4407,23
712,3.44%,1555,39
713,5.61%,594,67
714,4.44%,367,120
715,6.64%,511,121
717,3.22%,359,125
718,2.87%,254,126
719,10.69%,1126,127
720,11.64%,1216,136
721,20.13%,1588,118
722,12.74%,655,119
723,9.03%,2683,237
724,4.12%,180,122
726,4.02%,302,398
727,6.83%,2234,14
728,5.14%,587,99
730,13.83%,1403,133
731,0.51%,62,167
732,6.27%,2190,292
733,31.81%,563,212
734,2.51%,726,323
735,1.19%,344,323
736,40.81%,850,397
737,59.19%,1233,397
738,25.46%,22542,429
739,34.19%,30275,429
741,33.80%,29924,429
742,100.00%,33355,428
743,46.53%,4653,146
751,3.00%,1432,12
752,2.01%,1040,13
754,4.22%,2156,16
756,3.39%,1443,21
758,4.66%,1974,25
760,2.87%,1208,27
761,4.73%,2093,28
763,2.56%,1005,32
765,3.09%,1669,36
767,2.89%,1381,38
768,3.22%,1789,41
769,1.49%,551,35
771,3.27%,431,66
772,2.43%,285,46
773,3.06%,399,59
774,2.59%,358,61
775,12.52%,1308,68
776,3.46%,488,76
777,13.64%,1427,79
778,2.60%,337,80
779,3.97%,486,85
780,3.01%,309,88
781,14.55%,1105,89
782,3.87%,264,93
783,3.84%,470,94
784,2.56%,292,99
785,1.88%,239,100
786,2.73%,288,103
787,4.08%,388,105
788,3.95%,387,106
789,4.43%,516,107
790,4.02%,470,108
791,8.57%,762,110
792,4.12%,510,111
793,5.61%,632,114
795,3.31%,325,132
796,9.65%,979,133
798,13.24%,1348,148
799,1.89%,212,150
800,13.61%,1389,154
801,1.86%,152,156
802,12.15%,1185,159
803,8.78%,927,161
804,3.53%,421,164
807,3.90%,470,167
808,2.82%,354,170
809,2.99%,398,179
810,2.51%,307,181
811,2.11%,294,183
812,1.79%,197,185
813,9.45%,871,189
815,7.16%,368,119
